Sort Order,"Major area, region, country or area of destination",Notes,Country Code,Type of Data,Total,Other South,Other North,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990001,WORLD,,900,,153011473,6548526,2366800,6823350,180284,921727,2041,3792,824942,2047,21753,430169,899649,10596,303696,506088,1634081,25182,12820,5451831,84931,1767606,365360,36117,234314,71702,28465,224693,3206,861766,26053,500392,3094,26323,613093,1021332,337118,91368,355430,115853,998163,373,46362,336802,18726,493026,4231648,551080,95648,1009935,40083,96372,17488,69711,366348,425807,835796,43190,174378,277260,39784,436526,201761,5308,42437,466216,214008,1322178,1242075,36178,170603,113905,35181,1689955,260,7520,90166,250765,1215895,2844,3149,15352,36280,919454,2929448,371162,11994,1022459,9510,43249,5828,1376,348332,352763,55409,233731,528873,31,156594,387514,17621,6623177,1638365,631339,1506702,917286,10735,281597,3351006,589010,608921,313997,2971639,250340,4053,81611,522578,483021,215134,509323,191339,516886,76256,3428,341050,36141,59424,143437,562762,2193,647436,110746,1426,11041,134488,110708,1835,4395365,7714,4479,24466,77384,7188,1748251,2222369,685310,16079,1419,748060,723638,4151,388173,442126,149779,446806,5860,432296,2525,138536,12535,3343328,2958,134743,3111,297979,314854,2033684,1510415,1873457,1200821,12204,1624729,625683,3087,813066,12662893,547718,884,20714,22005,485,37049,74861,1419,13977,107166,370263,742547,35633,61854,156468,14823,133006,91496,2212,848067,308303,514943,1439019,885951,1813063,584940,179870,206848,326276,621881,537701,311308,11261,193830,1684,32666,197521,465576,2640033,259987,2311,2350,311602,5545760,79545,3794333,203070,1739233,2362,237486,1428020,5060,185946,1237873,6484,168239,455492,85203,204365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990002,UN development groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990003,More developed regions,b,901,,82767216,3385103,1077179,119386,177986,867015,1027,3737,167381,540,14561,223308,654111,4639,245256,471950,1056543,23376,1783,161091,79563,1570292,338069,32183,14838,71550,554,43272,2900,854349,2843,282969,158,6623,122758,6386,4620,80227,237274,50166,938586,269,9114,3608,18625,191694,1460345,516749,14382,365140,18946,61595,17441,48040,49237,422110,774534,39067,163985,268472,15643,95528,194363,3466,23814,387566,165601,269821,507652,8443,25565,110168,546,116900,237,7518,85997,247088,881133,61,324,8717,12656,801710,2488935,127620,11920,890569,8997,23826,162,43,245297,14712,16106,206865,294766,10,114335,360160,17533,1232954,309159,518437,145177,908952,10735,169372,2789415,575132,430558,70531,2833828,154625,989,16425,483043,251777,200654,370568,365,18354,25322,3250,310298,35779,43500,11584,188217,304,51354,110502,1115,316,13255,101617,0,4350586,2764,4200,24300,77143,5174,1567742,78957,44698,1304,465,7177,660809,1268,371488,179003,3433,148202,5821,380767,274,130212,714,447344,12,90144,1845,14571,228073,1349642,1346970,1475456,1180927,904,1382392,567165,125,661082,7566200,8427,539,9886,10108,433,18424,59558,1376,5881,24905,130627,738976,28990,19718,90554,13911,132447,89464,1115,67402,224304,1,917001,260120,35600,15083,160380,197121,288203,126353,471233,206019,10514,19358,1523,29974,182904,416484,2548456,249213,221,1171,71129,4668356,5600,3462531,61033,889414,70,56838,1078563,1017,114991,1085310,884,333,11457,26062,40957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990004,Less developed regions,c,902,,70244257,3163423,1289621,6703964,2298,54712,1014,55,657561,1507,7192,206861,245538,5957,58440,34138,577538,1806,11037,5290740,5368,197314,27291,3934,219476,152,27911,181421,306,7417,23210,217423,2936,19700,490335,1014946,332498,11141,118156,65687,59577,104,37248,333194,101,301332,2771303,34331,81266,644795,21137,34777,47,21671,317111,3697,61262,4123,10393,8788,24141,340998,7398,1842,18623,78650,48407,1052357,734423,27735,145038,3737,34635,1573055,23,2,4169,3677,334762,2783,2825,6635,23624,117744,440513,243542,74,131890,513,19423,5666,1333,103035,338051,39303,26866,234107,21,42259,27354,88,5390223,1329206,112902,1361525,8334,0,112225,561591,13878,178363,243466,137811,95715,3064,65186,39535,231244,14480,138755,190974,498532,50934,178,30752,362,15924,131853,374545,1889,596082,244,311,10725,121233,9091,1835,44779,4950,279,166,241,2014,180509,2143412,640612,14775,954,740883,62829,2883,16685,263123,146346,298604,39,51529,2251,8324,11821,2895984,2946,44599,1266,283408,86781,684042,163445,398001,19894,11300,242337,58518,2962,151984,5096693,539291,345,10828,11897,52,18625,15303,43,8096,82261,239636,3571,6643,42136,65914,912,559,2032,1097,780665,83999,514942,522018,625831,1777463,569857,19490,9727,38073,495528,66468,105289,747,174472,161,2692,14617,49092,91577,10774,2090,1179,240473,877404,73945,331802,142037,849819,2292,180648,349457,4043,70955,152563,5600,167906,444035,59141,163408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990005,Least developed countries,d,941,,11060221,482753,239756,0,0,5622,0,0,608108,0,0,526,0,0,1465,190,0,0,89,2046,0,0,973,0,41733,0,16805,0,0,0,652,1631,0,0,0,43162,329604,10796,14322,33380,1876,0,26440,208161,0,333,245923,54,0,828,8549,25168,0,274,308481,0,1493,0,5,0,78,257210,189,904,0,2406,0,30582,0,355,134471,0,102,1432950,0,0,721,0,38541,0,0,5273,13064,0,4776,58990,0,40,0,0,0,0,0,200952,37630,0,0,0,0,10,0,462470,75246,0,5020,1,0,0,2401,0,9729,0,0,82931,1054,29,0,58843,0,7337,2954,477733,3757,0,0,0,10810,47615,92880,0,132257,0,0,0,107801,113,0,306,0,0,0,0,0,3711,1265353,226295,3080,928,10025,548,292,487,0,55934,114276,0,0,0,4249,0,17315,0,0,1160,0,351,818,0,8194,1546,0,354,0,957,0,1465,532395,0,0,0,0,0,21,0,3219,2132,196154,0,6426,39039,10678,0,0,15,83,757421,21041,498608,1778,115,2697,244607,0,1170,686,2393,40537,32076,0,32868,0,24,0,221,6,0,0,377,149308,84,62,15760,72693,38316,0,286,2027,9,2510,71579,0,0,357,26254,75122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990006,"Less developed regions, excluding least developed countries",,934,,59184036,2680670,1049865,6703964,2298,49090,1014,55,49453,1507,7192,206335,245538,5957,56975,33948,577538,1806,10948,5288694,5368,197314,26318,3934,177743,152,11106,181421,306,7417,22558,215792,2936,19700,490335,971784,2894,345,103834,32307,57701,104,10808,125033,101,300999,2525380,34277,81266,643967,12588,9609,47,21397,8630,3697,59769,4123,10388,8788,24063,83788,7209,938,18623,76244,48407,1021775,734423,27380,10567,3737,34533,140105,23,2,3448,3677,296221,2783,2825,1362,10560,117744,435737,184552,74,131850,513,19423,5666,1333,103035,137099,1673,26866,234107,21,42259,27344,88,4927753,1253960,112902,1356505,8333,0,112225,559190,13878,168634,243466,137811,12784,2010,65157,39535,172401,14480,131418,188020,20799,47177,178,30752,362,5114,84238,281665,1889,463825,244,311,10725,13432,8978,1835,44473,4950,279,166,241,2014,176798,878059,414317,11695,26,730858,62281,2591,16198,263123,90412,184328,39,51529,2251,4075,11821,2878669,2946,44599,106,283408,86430,683224,163445,389807,18348,11300,241983,58518,2005,151984,5095228,6896,345,10828,11897,52,18625,15282,43,4877,80129,43482,3571,217,3097,55236,912,559,2017,1014,23244,62958,16334,520240,625716,1774766,325250,19490,8557,37387,493135,25931,73213,747,141604,161,2668,14617,48871,91571,10774,2090,802,91165,877320,73883,316042,69344,811503,2292,180362,347430,4034,68445,80984,5600,167906,443678,32887,88286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990022,SUB-SAHARAN AFRICA,,947,,13286341,744422,247002,123,78,6727,0,0,651557,0,693,762,94,0,5294,4444,0,74,233,2648,30,113,7385,0,219427,61,0,158,0,147,23203,2780,23,23,3881,1014852,332429,11070,0,65488,4756,0,19263,123280,0,698,18094,1877,0,118,19472,33168,0,0,315601,479,1780,0,949,1065,394,324530,1418,904,0,0,0,1663,0,27732,70202,68,34614,504747,0,0,47,692,110678,0,0,6625,23577,0,51856,242520,26,3231,0,0,0,0,90,336696,38507,54,0,0,0,10,16,29089,1326,725,219,6093,0,2631,13577,192,1551,54,0,80749,0,119,0,33,199,9964,190957,498483,6958,0,192,83,15847,131827,925,56,593691,163,0,0,118648,6540,1800,82,0,11,0,0,0,4990,2142318,211,14389,23,152,19109,0,1480,106,145923,267662,21,59,28,737,33,3432,0,59,59,116,203,1930,1905,29413,0,0,2012,0,2100,818,4321,539228,220,26,0,0,0,0,0,8084,2736,235531,1964,6626,41976,427,0,201,15,0,731909,72131,504409,1857,1701,232,229704,0,1553,5388,314,0,265,11,174468,0,0,26,401,850,0,0,0,163864,2314,237,150671,141273,20299,20,111,0,0,296,156,0,0,440,58030,163266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990023,Eastern Africa,,910,,5959183,259087,105685,0,0,35,0,0,139108,0,0,0,0,0,148,0,0,0,0,131,0,0,794,0,0,0,0,0,0,0,3494,0,0,0,0,0,309500,2500,0,10,545,0,0,0,0,0,2130,91,0,0,19278,15858,0,0,68,0,164,0,0,0,51,215992,170,904,0,0,0,279,0,0,69681,0,51,501546,0,0,0,0,47793,0,0,0,29,0,1239,513,0,40,0,0,0,0,0,0,0,0,0,0,0,10,0,15828,2,0,0,30,0,0,810,0,237,0,0,76838,0,0,0,0,0,0,2954,0,49,0,0,0,15325,117182,36,2,220,0,0,0,39,1379,1800,0,0,0,0,0,0,0,1748879,0,2849,0,27,208,0,0,0,0,2264,0,0,0,9,0,1163,0,0,0,0,0,61,0,1667,0,0,59,0,957,0,408,512371,0,0,0,0,0,0,0,0,0,173,0,6469,0,0,0,0,0,0,728536,27397,391000,85,325,0,178918,0,29,66,0,0,5,0,105,0,0,0,0,0,0,0,0,139632,0,0,24610,139041,1789,0,0,0,0,0,0,0,0,357,45024,75045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990024,Burundi,,108,B R,333110,50676,8943,,,,,,,,,,,,,,,,,,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36654,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833,,,,11912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990025,Comoros,,174,B,14079,847,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,10810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
