Sort Order,"Major area, region, country or area of destination",Notes,Country Code,Type of Data,Total,Other South,Other North,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1995001,WORLD,,900,,161316895,5399468,2340101,3716077,501142,979704,2638,4192,688660,2566,27682,481996,901872,10747,344311,490849,1712211,29686,26016,5425050,89921,1736499,376028,41959,275696,42600,117971,283540,3739,1372534,23320,751469,4242,35052,649577,1215666,540567,106957,418216,138948,1069031,803,49210,223106,15626,499207,5030369,619223,98093,1217608,51292,115684,17012,85421,449508,735556,935463,50014,163285,333356,54029,559836,207983,6964,45232,675282,326230,1492244,933330,46414,375258,129640,30342,816429,763,10005,106495,288821,1353418,3227,3749,16615,38385,953289,3045354,428057,10135,1004521,11366,54091,6879,1616,462072,365864,67151,296132,665028,37,246799,404699,21450,7157482,1953465,746894,1328725,863749,9003,291849,3207777,719398,657199,339346,3295163,277660,4246,97039,550026,547793,229015,533444,136603,542301,77417,3020,342455,37909,67333,150826,863664,1688,820613,109850,4154,12602,151715,114074,3937,6949297,12139,4790,27694,144640,11591,1884066,812715,911446,28224,1514,856036,734149,4603,417098,438387,177073,524591,5574,492304,2654,151368,13862,3345394,2845,133405,4063,336064,509283,2508005,1776628,1922320,1406262,13329,1785743,620036,2624,977495,11621262,2060366,2371,25986,30705,479,45751,81952,2460,19272,131016,359074,914112,27798,457828,168141,17215,191650,108668,2542,968967,386225,438044,1362439,925755,2275128,775379,193707,226803,340103,662477,555428,417273,79050,309627,1810,38343,251244,476954,2771722,243524,1535,2738,361975,5606432,97971,3713904,229169,1839745,3139,233993,1515753,5797,242811,1571732,6943,167148,486249,140898,288001
1995002,UN development groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1995003,More developed regions,b,901,,92935095,2350290,1135796,171042,497670,918261,1115,4140,186922,850,19730,250039,658802,5371,285509,457072,1039023,27859,4331,246816,84445,1574832,349143,37961,16052,42477,653,58622,3338,1365001,3274,514536,330,8190,167927,9955,7308,95045,253657,65253,998760,709,9691,4159,15545,212219,2069214,567000,16524,512824,19599,65891,16959,64578,62390,731823,870807,45207,152227,324734,15632,116898,199383,3951,25681,581620,270382,317255,702225,9544,38733,126078,1096,135805,740,10003,103292,284729,978606,57,489,9421,18548,818745,2616327,177036,10066,897871,10912,36126,261,39,381298,19932,24138,263744,404546,26,206058,378626,21353,1674038,326354,613271,255995,855990,9003,181169,2730318,701959,485783,78843,3188534,182211,1267,30301,518185,272144,216233,392474,527,34697,28323,2848,317972,37535,46338,12566,216172,419,54121,109612,3770,308,14412,105673,0,6900091,5013,4505,26866,144402,9316,1692306,80065,53633,2117,497,16956,671693,1419,399163,209847,3884,229950,5500,399163,280,139115,2077,612967,16,102564,2810,18843,358687,1720484,1630098,1567040,1384732,1890,1565117,567444,130,818331,7111844,11377,1933,14973,17652,418,27298,65165,2420,9217,36686,142852,910655,18629,34896,103803,16099,191019,106584,1464,123633,297567,1,924686,345179,38203,33708,172972,214880,304356,153056,459540,280969,7649,26143,1648,35557,235924,428054,2655007,232529,240,1584,77958,4850378,13885,3381005,66435,898169,134,63267,1177353,1222,163586,1380015,451,243,24659,31413,61708
1995004,Less developed regions,c,902,,68381800,3049178,1204305,3545035,3472,61443,1523,52,501738,1716,7952,231957,243070,5376,58802,33777,673188,1827,21685,5178234,5476,161667,26885,3998,259644,123,117318,224918,401,7533,20046,236933,3912,26862,481650,1205711,533259,11912,164559,73695,70271,94,39519,218947,81,286988,2961155,52223,81569,704784,31693,49793,53,20843,387118,3733,64656,4807,11058,8622,38397,442938,8600,3013,19551,93662,55848,1174989,231105,36870,336525,3562,29246,680624,23,2,3203,4092,374812,3170,3260,7194,19837,134544,429027,251021,69,106650,454,17965,6618,1577,80774,345932,43013,32388,260482,11,40741,26073,97,5483444,1627111,133623,1072730,7759,0,110680,477459,17439,171416,260503,106629,95449,2979,66738,31841,275649,12782,140970,136076,507604,49094,172,24483,374,20995,138260,647492,1269,766492,238,384,12294,137303,8401,3937,49206,7126,285,828,238,2275,191760,732650,857813,26107,1017,839080,62456,3184,17935,228540,173189,294641,74,93141,2374,12253,11785,2732427,2829,30841,1253,317221,150596,787521,146530,355280,21530,11439,220626,52592,2494,159164,4509418,2048989,438,11013,13053,61,18453,16787,40,10055,94330,216222,3457,9169,422932,64338,1116,631,2084,1078,845334,88658,438043,437753,580576,2236925,741671,20735,11923,35747,509421,95888,136304,71401,283484,162,2786,15320,48900,116715,10995,1295,1154,284017,756054,84086,332899,162734,941576,3005,170726,338400,4575,79225,191717,6492,166905,461590,109485,226293
1995005,Least developed countries,d,941,,11681777,541845,242648,0,0,6075,0,0,439142,0,0,506,0,0,1596,188,0,0,10375,2320,0,0,987,0,48811,0,107664,0,0,0,440,6549,0,0,0,46880,531005,11532,14552,36257,2077,0,27535,100703,0,316,224516,142,0,786,7760,36077,0,260,378756,0,1440,0,8,0,107,314411,184,1901,0,2285,0,31232,0,342,324968,0,113,527276,0,0,693,0,41234,0,0,5775,13622,0,3994,71356,0,37,0,0,0,0,0,206669,40950,0,0,0,0,9,0,616362,89159,0,5222,9,0,0,2372,0,10098,0,0,83407,1041,30,0,59872,0,7264,4061,462116,3931,0,0,0,10701,51549,126750,0,244530,0,0,0,123430,151,0,290,0,0,0,0,0,3886,124768,228551,1372,994,11808,572,289,507,0,73490,115619,0,0,0,7030,0,26611,0,0,1148,0,333,971,0,9894,1468,0,419,0,948,0,1432,2035151,0,0,0,0,0,11,0,3742,2307,168530,0,8831,418800,9285,0,0,42,65,610968,28381,373927,1716,174,3497,383453,0,1149,708,2485,36733,51656,0,42923,0,25,0,236,8,0,0,339,144465,96,66,23113,84924,40398,0,271,1836,9,2384,87096,0,0,325,65267,115024
1995006,"Less developed regions, excluding least developed countries",,934,,56700023,2507333,961657,3545035,3472,55368,1523,52,62596,1716,7952,231451,243070,5376,57206,33589,673188,1827,11310,5175914,5476,161667,25898,3998,210833,123,9654,224918,401,7533,19606,230384,3912,26862,481650,1158831,2254,380,150007,37438,68194,94,11984,118244,81,286672,2736639,52081,81569,703998,23933,13716,53,20583,8362,3733,63216,4807,11050,8622,38290,128527,8416,1112,19551,91377,55848,1143757,231105,36528,11557,3562,29133,153348,23,2,2510,4092,333578,3170,3260,1419,6215,134544,425033,179665,69,106613,454,17965,6618,1577,80774,139263,2063,32388,260482,11,40741,26064,97,4867082,1537952,133623,1067508,7750,0,110680,475087,17439,161318,260503,106629,12042,1938,66708,31841,215777,12782,133706,132015,45488,45163,172,24483,374,10294,86711,520742,1269,521962,238,384,12294,13873,8250,3937,48916,7126,285,828,238,2275,187874,607882,629262,24735,23,827272,61884,2895,17428,228540,99699,179022,74,93141,2374,5223,11785,2705816,2829,30841,105,317221,150263,786550,146530,345386,20062,11439,220207,52592,1546,159164,4507986,13838,438,11013,13053,61,18453,16776,40,6313,92023,47692,3457,338,4132,55053,1116,631,2042,1013,234366,60277,64116,436037,580402,2233428,358218,20735,10774,35039,506936,59155,84648,71401,240561,162,2761,15320,48664,116707,10995,1295,815,139552,755958,84020,309786,77810,901178,3005,170455,336564,4566,76841,104621,6492,166905,461265,44218,111269
1995007,World Bank income groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1995008,High-income countries,e,1503,,89346612,2878313,1112768,329622,437627,943933,103,4150,186499,1676,25293,337980,92075,5871,301020,457116,43509,28704,5509,1242135,87757,373477,354307,38293,15722,42543,650,254172,3496,1091250,3076,571879,3210,8194,154744,9408,7148,95045,254085,64658,1024873,726,9570,15468,15553,432386,4228944,612331,85622,545373,19586,65555,16961,70233,62299,448744,894065,46669,151580,312916,6536,117145,198613,3951,37039,642777,279372,1071968,705277,9513,47436,45805,1096,254975,743,10005,103330,281961,1056532,63,3660,9421,18545,108613,2512656,176844,10101,858196,10950,52861,319,1485,382631,19532,23830,277140,425542,37,208277,368724,21310,4023339,1379139,658926,365600,856933,9003,175895,3013605,715480,514178,245582,309837,182079,1265,56160,24460,273231,92732,469689,537,34701,47685,3014,201374,37576,46503,12561,701918,296,54003,108973,4040,318,14415,105814,0,6910390,12027,4313,4435,70150,11312,1861963,80008,155864,2030,499,215164,684392,3338,403208,215716,3880,232855,5503,360083,2276,138236,2066,1640206,2499,105036,2812,307045,435038,2324081,1709596,1583217,1390925,2092,1582281,76432,131,943009,2020610,11211,2097,23690,26384,435,44515,65163,2422,9228,56684,142760,870780,18632,34899,112670,16519,183625,96370,1464,129095,309575,6434,1152033,649732,68109,299683,174010,216176,308438,497587,13156,319541,7649,26154,1648,35691,242010,470293,2680162,25692,1529,1555,77882,1112690,70106,3468428,66261,1288064,1864,195060,81859,5100,175626,1353329,6929,128,458260,31117,61548
1995009,Middle-income countries,e,1517,,61040029,1522623,1060066,3374115,63515,30779,2535,42,204576,539,1582,143510,809576,1137,43018,33466,1668493,891,20507,4182206,1868,1362251,20348,3666,211687,57,9657,29368,243,281284,17212,170503,158,26827,494833,1159378,2685,7870,164131,38419,41484,77,30376,192806,73,66463,752444,6669,12471,669808,2840,14985,51,14928,8645,286812,38755,1035,11697,20440,47246,188771,9046,1112,526,18941,46858,411284,228053,36845,290373,83835,29177,541861,20,0,3052,6860,107033,931,0,1722,6218,843923,528653,180443,34,146288,416,1220,179,131,79441,142201,2930,15099,212924,0,38522,35966,140,2603760,573299,86495,954871,6807,0,115954,191463,2697,142379,93764,2984375,18743,2981,40879,510274,273652,136283,55791,132005,45484,28372,6,141081,333,850,31197,161608,1392,564776,877,114,432,13557,5928,0,38596,112,477,23259,74490,105,18543,345113,755582,25700,1015,640872,41992,290,11170,222671,99817,199942,61,132221,378,13120,11750,1683563,346,28369,1240,29019,73361,182480,66985,334463,13821,11237,198033,542215,561,34486,9304809,16404,242,294,1091,44,1121,16643,38,9919,72316,83409,43332,335,4129,55471,407,8025,12256,1078,311306,40955,57683,208742,275799,1914202,92195,2135,9491,30785,162279,505539,97432,71401,240661,162,2573,9134,6661,90597,217088,6,1106,197918,4491126,27865,219932,84256,540058,890,38662,1419229,532,63854,217703,14,167020,27900,21879,135208
1995010,Upper-middle-income countries,e,1502,,33494586,825450,520955,2059605,62850,5436,2518,41,41900,539,1536,117509,747355,1123,19285,32557,1537567,856,1570,52509,1814,953262,18314,2183,22256,56,19,29015,226,281251,16816,151113,158,2991,492350,3564,2098,57,105049,23474,32347,9,216,2777,73,61148,199770,6239,12471,667406,2313,12659,51,8246,2826,286688,36817,897,11583,19816,43870,16858,8442,865,523,18724,45638,369648,164992,35999,2428,70722,29133,4102,20,0,1010,6281,63928,930,0,282,139,758499,481297,7873,26,144956,416,1218,179,4,67818,2584,541,15095,212860,0,16183,35346,137,100115,465926,77909,947915,6536,0,14153,181402,2629,115946,28348,2617342,6502,2001,10023,470783,206064,112654,47122,131890,194,6055,4,108495,320,808,18747,14742,160,23503,873,0,432,616,4473,0,26061,112,417,23017,74490,105,8333,322475,447462,24433,27,37422,39925,0,7766,144103,310,25070,20,132095,285,5810,2280,36284,0,27224,79,26750,64370,176161,55695,325553,13550,1238,187151,357316,561,29677,3247019,2275,242,293,1091,44,1121,16629,38,3191,36271,15462,43332,319,614,35131,368,7959,12252,682,50044,23194,3687,202201,39017,1858555,39123,2097,8736,28297,143461,447167,40691,0,9517,162,2499,9125,3441,85775,184400,6,767,4074,4080222,4287,165727,4694,436796,860,38072,1199655,367,62962,89620,14,167020,22350,20724,111393
