Sort Order,"Major area, region, country or area of destination",Notes,Country Code,Type of Data,Total,Other South,Other North,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2019001,WORLD,,900,,271642105,7950425,3407920,5120756,1207032,1944784,1817,9114,661590,2707,55089,1013414,964848,19640,577255,575950,1155852,46467,60153,7835152,112925,1480794,581740,68144,666357,18049,49216,878211,12764,1653056,86501,1745339,5417,46977,1541860,1581083,623999,186372,1097884,383029,1323087,1973,767884,206400,22545,650151,10732281,1110358,161930,2869032,120297,239397,22488,150400,1114003,990012,1654684,123132,214648,911388,113118,1684615,255616,18668,78634,1558668,1183685,3547626,1600739,125670,751481,208257,108188,871747,1623,13838,222633,290006,2296534,4555,1982,46684,118483,852816,4014203,970625,14320,1039257,18684,75784,11856,2197,1205644,530963,103587,520196,1585681,217,800707,632126,42186,17510931,4532992,1301975,2033522,816797,12809,369935,3077777,1111021,838852,784377,4005587,525437,4370,205382,754969,1347034,332220,844158,341580,219338,180586,3713,610223,75470,184762,324541,1689222,3053,1264700,111137,8205,13919,128506,188344,6617,11796178,21819,31452,73488,153009,22838,3136069,1013416,3699472,195515,2421,2285364,980753,5098,777303,682865,401653,1438331,5593,658264,2764,202336,24939,6303286,2650,161107,219126,871638,1512920,5377337,4446985,2631559,2007347,171632,2176580,1013417,133769,3572794,10491715,588544,6596,124941,63605,2356,60655,124403,2425,37013,296254,642654,950485,36788,187102,340751,29209,345683,147593,4234,2054377,824601,2608218,1444942,1775768,3890650,2040613,423517,353825,679796,8225499,597959,1020119,39202,543277,2242,74433,334304,813213,3493071,260832,31033,3276,734951,5901067,154404,4274998,323173,3167072,25863,633439,1979523,7346,2519780,2683954,11820,195572,1267610,493087,933654
2019002,UN development groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019003,More developed regions,b,901,,152069261,3114911,991191,686514,1199619,1851127,43,7849,244608,1061,42352,664757,778187,13889,472987,529343,940311,44731,12869,804412,107860,1342671,532916,62700,35183,17782,14735,291987,9454,1648777,7277,1383903,601,14638,856935,31729,36784,165842,353130,247217,1182163,1837,21835,13221,22417,345515,6315211,741825,24974,1453269,40870,113088,22429,116319,201763,982470,1577214,112716,191347,900934,31597,299778,238184,12775,56471,1446445,1079500,640473,1526023,22883,270147,204905,14525,441756,1564,13830,220033,282344,1681852,317,907,26435,97841,710853,3365059,491123,14181,903776,18207,63884,566,127,1111234,116980,43556,455612,929239,209,730574,611108,41274,5530899,453491,1130032,986301,789416,12807,278977,2688581,1072862,608252,147790,3925548,384465,2622,82847,721883,313077,324492,551588,1567,113868,106131,3598,596294,75025,148199,24847,417547,1272,124815,110303,7815,725,33554,166931,0,11716621,8867,30823,47537,152712,19703,2937519,87858,223751,7401,804,288386,852577,2409,748000,337533,22389,774739,5521,459121,49,175111,11536,1498440,198,136940,218265,114886,972369,3195290,4342547,2316070,1985964,154777,1837996,981305,131127,3425391,6448511,131344,4389,112842,49554,2233,44274,107757,2355,19852,183379,355359,939412,18010,130107,189317,26736,343545,145859,3082,508090,707872,38578,1091769,660919,112595,141179,379578,332333,632016,1187179,558271,785079,15459,74367,2136,69583,317605,769813,3321716,244721,28600,2374,153787,5212964,62861,3773433,143509,1525091,22055,434156,1523911,2702,593840,2326181,1,1244,106755,298307,325316
2019004,Less developed regions,c,902,,119572844,4835514,2416729,4434242,7413,93657,1774,1265,416982,1646,12737,348657,186661,5751,104268,46607,215541,1736,47284,7030740,5065,138123,48824,5444,631174,267,34481,586224,3310,4279,79224,361436,4816,32339,684925,1549354,587215,20530,744754,135812,140924,136,746049,193179,128,304636,4417070,368533,136956,1415763,79427,126309,59,34081,912240,7542,77470,10416,23301,10454,81521,1384837,17432,5893,22163,112223,104185,2907153,74716,102787,481334,3352,93663,429991,59,8,2600,7662,614682,4238,1075,20249,20642,141963,649144,479502,139,135481,477,11900,11290,2070,94410,413983,60031,64584,656442,8,70133,21018,912,11980032,4079501,171943,1047221,27381,2,90958,389196,38159,230600,636587,80039,140972,1748,122535,33086,1033957,7728,292570,340013,105470,74455,115,13929,445,36563,299694,1271675,1781,1139885,834,390,13194,94952,21413,6617,79557,12952,629,25951,297,3135,198550,925558,3475721,188114,1617,1996978,128176,2689,29303,345332,379264,663592,72,199143,2715,27225,13403,4804846,2452,24167,861,756752,540551,2182047,104438,315489,21383,16855,338584,32112,2642,147403,4043204,457200,2207,12099,14051,123,16381,16646,70,17161,112875,287295,11073,18778,56995,151434,2473,2138,1734,1152,1546287,116729,2569640,353173,1114849,3778055,1899434,43939,21492,47780,7038320,39688,235040,23743,468910,106,4850,16699,43400,171355,16111,2433,902,581164,688103,91543,501565,179664,1641981,3808,199283,455612,4644,1925940,357773,11819,194328,1160855,194780,608338
2019005,Least developed countries,d,941,,16289023,1042811,484256,536,1439,13793,446,1166,250846,0,4249,628,8,0,2238,187,4,12,30558,1533,10,0,873,1,102401,0,27688,4,0,1,1327,16029,565,0,2,108246,566940,18249,23542,39018,1896,0,447302,113933,0,2062,247825,123,0,3314,13385,68203,0,378,831478,1120,2926,0,7,0,3349,1112671,258,4013,12,2363,1,30841,3,11355,439234,0,119,127009,0,0,899,5,47437,0,385,15025,11238,0,3678,115784,0,35,0,416,1057,0,0,234852,51558,0,23,0,284,8,0,566224,159181,7,10065,11,0,1514,2362,0,15509,1,2069,105916,324,32,0,89593,21,2834,8032,15953,5084,3,0,0,9620,82241,206595,0,342728,0,5,0,75443,186,0,298,2,0,0,0,0,5821,74503,940617,2205,1550,40390,370,287,541,4,175245,297904,0,0,0,14507,0,114633,8,0,632,0,343,671,0,11571,1517,0,757,2,846,4,1052,415696,0,0,0,0,28,29,0,7143,3459,197108,1,17334,47823,10858,0,0,73,132,895732,43906,2443992,2598,128,3980,1097111,0,277,598,4583,4596,47612,0,145782,0,956,0,765,128,0,744,302,261362,8,3498,39591,122824,56410,521,843,229,64,2463,86927,0,29089,7479,57299,151639
2019006,"Less developed regions, excluding least developed countries",,934,,103283821,3792703,1932473,4433706,5974,79864,1328,99,166136,1646,8488,348029,186653,5751,102030,46420,215537,1724,16726,7029207,5055,138123,47951,5443,528773,267,6793,586220,3310,4278,77897,345407,4251,32339,684923,1441108,20275,2281,721212,96794,139028,136,298747,79246,128,302574,4169245,368410,136956,1412449,66042,58106,59,33703,80762,6422,74544,10416,23294,10454,78172,272166,17174,1880,22151,109860,104184,2876312,74713,91432,42100,3352,93544,302982,59,8,1701,7657,567245,4238,690,5224,9404,141963,645466,363718,139,135446,477,11484,10233,2070,94410,179131,8473,64584,656419,8,69849,21010,912,11413808,3920320,171936,1037156,27370,2,89444,386834,38159,215091,636586,77970,35056,1424,122503,33086,944364,7707,289736,331981,89517,69371,112,13929,445,26943,217453,1065080,1781,797157,834,385,13194,19509,21227,6617,79259,12950,629,25951,297,3135,192729,851055,2535104,185909,67,1956588,127806,2402,28762,345328,204019,365688,72,199143,2715,12718,13403,4690213,2444,24167,229,756752,540208,2181376,104438,303918,19866,16855,337827,32110,1796,147399,4042152,41504,2207,12099,14051,123,16353,16617,70,10018,109416,90187,11072,1444,9172,140576,2473,2138,1661,1020,650555,72823,125648,350575,1114721,3774075,802323,43939,21215,47182,7033737,35092,187428,23743,323128,106,3894,16699,42635,171227,16111,1689,600,319802,688095,88045,461974,56840,1585571,3287,198440,455383,4580,1923477,270846,11819,165239,1153376,137481,456699
2019007,World Bank income groups,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019008,High-income countries,e,1503,,175811829,4135205,1552536,1160945,1126602,1895453,1,7886,244314,2491,49035,807631,197331,17595,508625,523801,87075,45419,18199,4232247,110772,350342,537546,63273,35071,17919,14725,799632,12491,1265956,7264,1476781,4385,14640,858575,31287,36641,165820,367358,246819,1246157,1861,21767,20759,22433,568823,9874599,817785,136213,1650031,40787,112581,22437,127707,201675,667984,1596564,117017,188267,889938,20936,300524,239634,12774,71947,1532280,1113802,3256059,1530907,22788,301727,132812,14543,697179,1572,13838,220102,279095,1823427,330,1491,26445,97839,224681,3242243,490800,14208,884580,18240,74135,2898,1115,1114315,116682,43430,487434,1050329,217,735833,597039,41291,15046096,3033148,1176388,1066442,789463,12807,271047,2793445,1107110,659667,667199,1080426,384629,2618,162460,102682,313869,209117,775851,1607,113882,122402,3683,487495,74729,148973,24834,1441624,1269,124925,110173,8105,860,33556,167440,4,11734867,21572,30816,51708,66717,22336,3107561,87913,488929,7301,830,1118055,880985,4629,757607,353009,22439,802598,5541,404047,2600,174693,11563,4943224,2294,139971,218278,811785,1387304,5152804,4375050,2323472,1997391,158948,1857414,359692,131135,3520780,2518586,131318,5715,123385,58327,2289,58974,107752,2328,19896,195460,355218,900370,18017,130111,204013,28108,337637,131589,3082,522883,727375,59449,1185912,1571773,198641,841245,383608,336092,638061,2087861,58277,896668,15459,74443,2136,70674,323782,800367,3354432,32771,30252,1796,153765,1788784,120585,3914260,143482,1977872,23935,585163,185273,6717,825297,2429687,11808,1230,1209849,297939,325574
2019009,Middle-income countries,e,1517,,82237681,3182596,1680139,3945911,78991,36676,1370,62,195663,183,1659,205189,767316,1146,67990,51900,1068605,1011,41952,3602401,2067,1129775,42640,4870,529457,130,6803,78575,273,387099,75239,243354,392,32315,683283,1441550,26676,12940,730518,97874,74126,112,315449,165578,112,79027,799622,292386,25717,1214987,5886,69322,51,22315,94225,320908,55169,1215,26374,21450,88723,417009,15634,1881,696,20605,69882,277697,69829,91659,207521,75445,93563,122774,51,0,2362,10906,202902,1212,0,5516,9406,627474,768215,364545,112,154642,444,1233,182,1082,91329,200166,8802,27672,496903,0,64590,35079,895,2013261,1498351,124388,754239,27323,2,97374,281456,2961,177776,117177,2922257,38675,1750,42922,641026,1032279,123082,65262,331941,89503,55163,27,122728,741,3786,122807,247399,1784,906270,964,95,500,18944,15582,0,61013,245,636,21780,86292,207,23042,731231,3210542,187635,1574,1167286,96055,287,16867,329852,204103,356690,38,254217,164,27633,13341,1248843,348,21136,818,59853,124182,221550,71899,302077,8428,12684,313142,652939,582,52010,7738726,51286,490,469,1446,67,1609,16379,97,16964,97651,106986,50114,1437,9168,135817,489,8046,15931,1141,730361,46379,878289,256499,203795,3092349,102047,5317,17479,40885,6133177,535086,122325,23743,323201,106,2784,10472,12338,137738,227617,37,1398,322025,4111071,30391,341015,63046,1177928,965,47433,1786511,601,1691449,253483,12,194342,50554,106854,471991
2019010,Upper-middle-income countries,e,1502,,54279436,1998161,764852,2336701,78743,8730,1347,62,120693,183,1520,157399,698310,1080,38823,50518,953828,910,1985,488176,2027,842105,39428,3144,52463,130,38,78270,252,387028,74045,198742,392,7211,681016,7501,12215,1658,705909,56374,58487,21,450,5587,112,73065,329734,291968,25717,1209633,4984,52932,51,9072,6664,320766,50821,1033,26035,20960,78588,67816,14671,1514,693,20198,67597,238928,57927,86482,4033,64407,93526,8281,51,0,1267,10314,132528,1211,0,873,130,558629,733597,19689,104,152299,444,1233,182,5,75600,5515,1780,27667,496783,0,39447,34497,839,266502,1309521,117355,731047,26615,0,28930,259239,2897,122016,39846,2663229,32333,1491,15017,608832,935117,102303,52232,331721,1363,28536,27,95252,731,3742,110380,21451,153,55538,959,1,500,656,15292,0,46186,245,555,21670,86290,207,13975,718926,2205781,185681,47,590416,86023,0,13844,313911,458,63012,37,254083,88,12120,2782,150866,27,19732,139,55129,110863,213594,64542,292119,8082,1848,266554,498540,582,49079,3351329,8914,490,469,1446,67,1609,16358,97,8178,58630,36875,50092,1393,1291,94720,437,7961,15922,797,161189,19784,2648,235278,50057,2955795,33159,5189,15933,37009,5993552,491518,37962,66,22856,106,2710,10467,7407,132068,202798,37,1096,9496,3905405,4888,251808,19655,1028894,891,46695,1553931,438,1690060,152670,12,165253,43138,105774,456406
